New diviision,Title/sub-title,Video Start Time,Video End Time,,total time,https://apps.tlt.stonybrook.edu/vq/meichan/61/
y.1,Genetics and Synthetic Biology,0:00,0:30,,0:30,
y.2,"Chromosome, Gene, & DNA",0:30,1:58,,1:28,
y.3,Transcription & Translation,1:58,8:55,,6:57,
y.4,RNA Processing,8:55,10:58,,2:03,
y.5,mRNA Translation & Protein Synthesis,10:58,12:18,,2:20,
y.6,Genetic Engineering Applications,12:18,20:21,,8:03,
y.7,Recombinant DNA Technology,20:21,23:42,,3:21,
